"","age","type_employer","fnlwgt","education","marital","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_week","country","income"
"329",58,2,321171,2,2,3,2,1,1,0,0,40,1,1
"330",66,3,127921,2,1,8,1,1,1,2050,0,55,1,1
"332",26,3,224563,1,1,1,1,1,1,0,0,40,1,1
"333",47,3,178686,8,1,5,1,1,1,0,0,40,1,1
"335",53,3,242606,2,2,8,2,1,1,0,0,40,1,1
"336",17,3,270942,12,1,5,6,1,1,0,0,48,5,1
"337",30,3,94235,2,1,7,6,1,1,0,0,40,1,1
"338",49,3,71195,4,1,4,1,1,1,0,0,60,1,1
"340",45,3,261192,2,2,5,2,2,1,0,0,40,1,1
"341",26,3,94936,7,1,6,1,1,1,0,0,40,1,1
"343",36,1,119272,2,2,12,2,1,1,7298,0,40,1,0
"345",22,1,293364,6,1,12,4,2,2,0,0,40,1,1
"346",43,2,241895,1,1,6,1,1,1,0,0,42,1,1
"349",56,3,101128,7,4,5,1,1,1,0,0,25,12,1
"350",31,3,156464,1,1,4,4,1,1,0,0,25,1,1
"351",33,3,117963,1,2,2,2,1,1,0,0,40,1,0
"353",33,3,111363,1,2,2,2,1,1,0,0,40,1,0
"354",46,5,329752,3,2,8,2,1,1,0,0,30,1,1
"355",59,3,372020,1,2,2,2,1,1,0,0,40,1,0
"356",38,4,95432,2,2,1,2,1,1,0,0,40,1,0
"360",26,2,117125,5,2,7,2,1,1,0,0,40,24,1
"361",36,3,348022,13,2,5,3,1,2,0,0,24,1,1
"362",62,3,270092,4,2,4,2,1,1,0,0,40,1,0
"363",43,3,180609,1,2,8,2,1,1,0,0,45,1,1
"364",43,3,174575,1,3,2,1,1,1,0,1564,45,1,0
"365",22,3,410439,2,4,6,1,1,1,0,0,55,1,1
"366",28,3,92262,2,2,7,2,1,1,0,0,40,1,1
"367",56,2,183081,6,2,6,2,1,1,0,0,45,1,1
"369",57,3,212448,1,3,2,1,1,2,0,0,45,1,0
"371",26,4,185885,6,1,1,5,1,2,0,0,15,1,1
"372",17,3,89821,3,1,5,4,1,1,0,0,10,1,1
"374",45,3,256649,2,2,10,2,2,1,0,0,40,1,1
"375",44,3,160323,2,1,7,1,2,1,0,0,40,1,1
"376",20,5,350845,6,1,1,4,1,2,0,0,10,1,1
"377",33,3,267404,2,2,7,3,1,2,0,0,40,1,1
"378",23,3,35633,6,1,6,1,1,1,0,0,40,1,1
"380",38,3,172927,2,2,6,2,1,1,0,0,50,1,1
"381",54,3,174319,2,3,8,1,1,1,0,0,40,1,1
"382",46,3,214955,12,3,7,1,1,2,0,2339,45,1,1
"383",25,3,344991,6,2,7,2,1,1,0,0,40,1,1
"384",46,3,108699,6,3,6,1,1,2,0,0,40,1,1
"387",29,3,134152,2,5,10,1,1,1,0,0,40,1,1
"388",44,3,162028,6,2,1,3,1,2,0,2415,6,1,0
"391",35,3,220098,2,2,5,3,1,2,0,0,40,1,0
"393",46,2,277946,7,5,7,1,1,1,0,0,40,1,1
"394",34,1,98101,1,2,2,2,1,1,7688,0,45,1,0
"395",34,3,196164,2,1,5,1,1,2,0,0,35,1,1
"396",44,3,115562,6,2,11,2,1,1,0,0,40,1,1
"397",45,3,96975,6,3,3,5,1,2,0,0,40,1,1
"400",52,6,132178,1,2,2,2,1,1,0,0,50,1,0
"401",20,3,416103,6,1,3,4,1,1,0,0,40,1,1
"402",28,3,108574,6,1,5,1,1,2,0,0,40,1,1
"403",50,1,288353,1,2,12,2,1,1,0,0,40,1,0
"405",28,3,166481,9,2,3,2,5,1,0,2179,40,7,1
"407",28,3,110145,2,2,1,2,1,1,0,0,40,1,1
"408",46,2,317253,2,2,7,2,1,1,0,0,25,1,1
"409",28,3,123147,6,2,1,3,1,2,0,1887,40,1,0
"410",32,3,364657,6,2,2,2,1,1,0,0,50,1,1
"411",41,5,42346,6,3,5,1,2,2,0,0,24,1,1
"412",24,3,241951,2,1,3,5,2,2,0,0,40,1,1
"414",46,3,188386,10,2,2,2,1,1,15024,0,60,1,0
"417",52,3,190762,14,2,10,2,1,1,0,0,40,5,1
"418",30,3,426017,3,1,5,4,1,2,0,0,19,1,1
"420",34,1,240283,2,3,8,5,1,2,0,0,40,1,1
"421",20,3,61777,6,2,6,2,1,1,0,0,30,1,1
"422",17,3,175024,3,1,3,4,1,1,2176,0,18,1,1
"423",32,1,92003,1,2,2,3,1,2,0,0,40,1,0
"424",29,3,188401,2,3,9,1,1,1,0,0,40,1,1
"425",33,3,228528,13,1,7,5,1,2,0,0,35,1,1
"427",36,4,255191,4,1,4,1,1,1,0,1408,40,1,1
"430",47,5,287480,4,2,4,2,1,1,0,0,40,1,1
"431",80,3,107762,2,7,5,1,1,1,0,0,24,1,1
"432",17,3,202521,3,1,3,4,1,1,0,0,40,1,1
"434",30,3,29662,7,2,5,3,1,2,0,0,25,1,0
"435",27,3,116358,6,1,7,4,3,1,0,1980,40,13,1
"436",33,3,208405,4,2,4,2,1,1,0,0,50,1,0
"437",34,5,284843,2,1,9,1,2,1,594,0,60,1,1
"438",34,5,117018,6,1,12,1,1,2,0,0,40,1,1
"439",23,3,81281,6,2,1,2,1,1,0,0,40,1,1
"440",42,5,340148,6,2,1,3,1,2,0,0,40,1,1
"441",29,3,363425,1,1,4,1,1,1,0,0,40,1,1
"442",45,3,45857,2,3,1,1,1,2,0,0,28,1,1
"443",24,4,191073,2,1,13,4,1,1,0,0,40,1,1
"444",44,3,116632,6,2,4,2,1,1,0,0,40,1,0
"445",27,3,405855,5,1,7,6,1,1,0,0,40,5,1
"446",20,3,298227,6,1,6,1,1,1,0,0,35,1,1
"447",44,3,290521,2,7,2,5,2,2,0,0,40,1,1
"448",51,3,56915,2,2,7,2,4,1,0,0,40,1,1
"450",17,3,258872,3,1,5,4,1,2,0,0,5,1,1
"451",19,3,206399,2,1,10,4,2,2,0,0,40,1,1
"452",45,6,197332,6,2,7,2,1,1,0,0,55,1,0
"453",60,3,245062,2,2,7,2,1,1,0,0,40,1,0
"454",42,3,197583,7,2,2,2,2,1,0,0,40,1,0
"456",40,3,72887,8,2,10,2,3,1,0,0,40,1,0
"457",30,3,180374,2,2,2,3,1,2,0,0,40,1,1
"458",38,3,351299,6,2,8,2,2,1,0,0,50,1,1
"459",23,3,54012,2,2,8,2,1,1,0,0,60,1,1
"460",32,3,115745,6,2,7,2,1,1,0,0,40,1,1
"461",44,3,116632,7,1,9,4,1,1,0,0,40,1,1
"462",54,5,288825,2,2,8,2,2,1,0,0,40,1,1
"463",32,3,132601,1,2,4,2,1,1,0,0,50,1,1
"467",52,3,35598,2,3,8,5,1,1,0,0,40,1,1
"468",38,3,33983,6,2,8,2,1,1,0,0,40,1,1
"469",49,3,192776,4,2,2,2,1,1,0,1977,45,1,0
"471",60,3,201965,6,1,4,5,1,1,0,0,40,1,0
"474",30,3,303990,2,1,8,1,1,1,0,0,60,1,1
"475",67,3,49401,8,3,5,1,1,2,0,0,24,1,1
"479",27,3,161155,13,1,5,1,1,1,0,0,40,1,1
"480",23,3,197904,2,1,5,5,1,2,0,0,35,1,1
"481",33,3,111746,7,2,7,2,1,1,0,0,45,24,1
"484",41,3,193626,2,4,7,5,1,2,0,0,40,1,1
"486",25,3,189775,6,4,1,4,2,2,0,0,20,1,1
"488",59,5,286967,2,2,8,2,1,1,0,0,45,1,1
"489",45,5,164427,1,3,4,5,1,2,0,0,40,1,1
"490",38,3,91039,1,2,6,2,1,1,15024,0,60,1,0
"491",40,3,347934,2,1,5,1,1,2,0,0,35,1,1
"495",33,3,178107,1,1,7,4,1,1,0,0,20,1,1
"496",41,3,343121,2,3,1,5,1,2,0,0,36,1,1
"497",20,3,262749,6,1,10,4,1,1,0,0,40,1,1
"499",26,3,64293,6,1,4,1,1,2,0,0,35,1,1
"500",72,3,303588,2,2,7,2,1,1,0,0,20,1,1
"502",62,5,114060,2,2,8,2,1,1,0,0,40,1,1
"503",52,3,48925,6,2,1,2,1,1,0,0,40,1,1
"505",25,3,181054,1,1,6,1,1,2,0,0,40,1,1
"506",24,3,388093,1,1,2,1,2,1,0,0,40,1,1
"507",19,3,249609,6,1,12,4,1,1,0,0,8,1,1
"508",43,3,112131,6,2,2,2,1,1,0,0,40,1,1
"509",47,5,543162,2,5,1,5,2,2,0,0,40,1,1
"510",39,3,91996,2,3,5,5,1,2,0,0,40,1,1
"511",49,3,141944,8,4,3,5,1,1,0,1380,42,1,1
"512",53,3,251804,12,7,5,5,2,2,0,0,30,1,1
"513",32,3,37070,8,1,7,1,1,1,0,0,45,1,1
"517",25,3,267044,6,1,1,1,4,2,0,0,20,1,1
"518",20,3,214635,6,1,5,4,1,1,0,0,24,1,1
"519",21,3,204226,6,1,5,5,1,2,0,0,35,1,1
"520",34,3,108116,1,2,4,2,1,1,0,0,50,1,0
"523",24,5,248344,6,3,3,1,2,1,0,0,50,1,1
"524",37,5,186035,6,2,11,2,1,1,0,0,45,1,0
"525",44,3,177905,6,3,10,5,1,1,0,0,58,1,0
"526",28,3,85812,6,2,6,3,1,2,0,0,40,1,1
"527",42,3,221172,1,2,2,2,1,1,0,0,40,1,0
"528",74,3,99183,6,3,1,1,1,2,0,0,9,1,1
"530",44,2,202692,4,2,4,2,1,1,0,0,40,1,1
"531",44,3,109339,3,3,10,5,5,2,0,0,46,7,1
"536",39,5,207853,16,2,11,2,1,1,0,0,50,1,1
"537",57,3,190942,14,7,14,1,2,2,0,0,30,1,1
"538",29,3,102345,8,5,7,1,1,1,0,0,40,1,1
"539",31,6,41493,1,1,9,1,1,2,0,0,45,1,1
"540",34,3,190027,2,1,5,5,2,2,0,0,40,1,1
"541",44,3,210525,6,2,8,2,1,1,0,0,40,1,1
"543",30,3,237903,6,1,3,5,1,2,0,0,40,1,1
"544",27,3,163862,2,1,8,1,1,1,0,0,40,1,1
"545",27,3,201872,6,2,6,2,1,1,0,0,50,1,1
"547",58,3,51662,13,2,5,3,1,2,0,0,8,1,1
"548",35,5,233327,6,2,12,2,1,1,0,0,40,1,1
"550",28,3,184831,6,1,7,5,1,1,0,0,40,1,1
"551",46,2,245724,6,3,2,1,1,1,0,0,50,1,1
"552",36,2,27053,2,5,5,5,1,2,0,0,40,1,1
"553",72,3,205343,3,7,1,5,1,2,0,0,40,1,1
"556",69,3,136218,3,1,10,1,1,2,0,0,40,1,1
"558",31,3,323069,2,5,1,5,1,2,0,0,20,1,1
"559",34,3,148291,2,2,11,3,1,2,0,0,32,1,1
"560",30,3,152453,3,2,5,2,1,1,0,0,40,5,1
"561",28,3,114053,1,1,8,1,1,1,0,0,55,1,1
"562",54,3,212960,1,2,6,2,1,1,0,0,35,1,0
"563",47,3,264052,6,2,4,2,1,1,0,0,50,1,0
"564",24,3,82804,2,1,3,5,2,2,0,0,40,1,1
"565",52,2,334273,1,2,4,2,1,1,0,0,60,1,0
"566",20,3,27337,2,1,3,4,4,1,0,0,48,1,1
"567",43,6,188436,4,2,2,2,1,1,5013,0,45,1,1
"568",45,3,433665,9,5,5,5,1,2,0,0,40,5,1
"570",47,3,87490,4,3,2,5,1,1,0,0,42,1,1
"571",24,3,354351,2,1,7,4,1,1,0,0,40,1,1
"572",51,3,95469,2,2,4,2,1,1,0,0,40,1,1
"574",37,3,22463,8,2,7,2,1,1,0,1977,40,1,0
"577",18,3,165532,16,1,5,4,1,1,0,0,25,1,1
"579",58,5,283635,1,1,4,1,1,2,0,0,40,1,1
"582",57,3,69884,2,2,6,2,1,1,0,0,40,1,0
"583",59,3,199713,2,2,7,2,1,1,0,0,40,1,1
"584",27,3,181659,2,2,10,2,1,1,0,0,40,1,1
"585",31,2,340939,1,1,11,1,1,1,0,0,40,1,1
"587",29,3,34292,6,1,1,1,1,1,0,0,60,1,1
"589",52,3,25826,13,2,7,2,1,1,0,1887,47,1,0
"590",57,6,103948,1,3,4,1,1,1,0,0,80,1,1
"595",23,3,117789,1,1,1,4,1,2,0,0,40,1,1
"596",27,3,267147,2,1,6,4,1,1,0,0,40,1,1
"598",42,2,214242,11,2,4,2,1,1,0,1902,50,1,0
"600",49,3,136455,1,1,4,1,1,2,0,0,45,1,1
"601",32,3,239824,1,1,11,1,1,1,0,0,40,1,1
"602",19,3,217039,6,1,1,4,1,1,0,0,28,1,1
"605",35,2,194404,7,1,9,1,1,1,0,0,40,1,1
"606",48,3,45612,2,1,1,5,2,2,0,0,37,1,1
"607",51,3,410114,4,2,7,2,1,1,0,0,40,1,0
"608",29,3,182521,2,1,7,1,4,1,0,0,40,1,1
"609",36,5,339772,2,5,2,1,2,1,0,0,40,1,1
"610",17,3,169658,13,1,5,4,1,2,0,0,21,1,1
"612",24,3,247564,2,1,7,1,1,1,0,0,40,1,1
"614",26,5,208122,1,1,4,4,1,1,1055,0,40,1,1
"615",27,3,109881,1,1,5,4,1,2,0,0,20,1,1
"616",39,3,207824,2,1,3,4,1,1,0,0,60,1,1
"617",30,3,369027,2,2,8,2,2,1,0,0,45,1,1
"619",52,6,51048,1,2,6,2,1,1,0,0,55,1,1
"623",65,3,109351,5,7,14,5,2,2,0,0,24,1,1
"624",29,3,34383,8,2,8,2,1,1,0,0,55,1,1
"625",47,3,241832,5,4,3,5,1,1,0,0,40,26,1
"628",38,2,267556,2,2,6,2,1,1,0,0,64,1,1
"630",49,3,268090,1,2,6,2,1,1,0,0,26,1,0
